,Name,Link
17,Հայերեն,"https://hy.wikipedia.org/wiki/%D5%95%D5%BD%D5%AF%D5%A1%D6%80_(%D5%AF%D5%AB%D5%B6%D5%B8%D5%B4%D6%80%D6%81%D5%A1%D5%B6%D5%A1%D5%AF,_2023)"
18,Hrvatski,https://hr.wikipedia.org/wiki/95._dodjela_Oscara
19,Bahasa Indonesia,https://id.wikipedia.org/wiki/Academy_Awards_ke-95
20,Italiano,https://it.wikipedia.org/wiki/Premi_Oscar_2023
21,עברית,https://he.wikipedia.org/wiki/%D7%98%D7%A7%D7%A1_%D7%A4%D7%A8%D7%A1%D7%99_%D7%90%D7%95%D7%A1%D7%A7%D7%A8_%D7%94-95
22,Latviešu,https://lv.wikipedia.org/wiki/95._Kinoakad%C4%93mijas_balva
23,Magyar,https://hu.wikipedia.org/wiki/95._Oscar-g%C3%A1la
24,मराठी,https://mr.wikipedia.org/wiki/%E0%A5%AF%E0%A5%AB%E0%A4%B5%E0%A5%87_%E0%A4%85%E0%A4%95%E0%A4%BE%E0%A4%A6%E0%A4%AE%E0%A5%80_%E0%A4%AA%E0%A5%81%E0%A4%B0%E0%A4%B8%E0%A5%8D%E0%A4%95%E0%A4%BE%E0%A4%B0
25,Bahasa Melayu,https://ms.wikipedia.org/wiki/Anugerah_Akademi_ke-95
26,Nederlands,https://nl.wikipedia.org/wiki/95ste_Oscaruitreiking
27,日本語,https://ja.wikipedia.org/wiki/%E7%AC%AC95%E5%9B%9E%E3%82%A2%E3%82%AB%E3%83%87%E3%83%9F%E3%83%BC%E8%B3%9E
28,Norsk bokmål,https://no.wikipedia.org/wiki/Den_95._Oscar-utdelingen
29,ਪੰਜਾਬੀ,https://pa.wikipedia.org/wiki/95%E0%A8%B5%E0%A9%87%E0%A8%82_%E0%A8%85%E0%A8%95%E0%A8%BE%E0%A8%A6%E0%A8%AE%E0%A9%80_%E0%A8%87%E0%A8%A8%E0%A8%BE%E0%A8%AE
30,Polski,https://pl.wikipedia.org/wiki/95._ceremonia_wr%C4%99czenia_Oscar%C3%B3w
31,Português,https://pt.wikipedia.org/wiki/Oscar_2023
32,Română,https://ro.wikipedia.org/wiki/Oscar_2023
33,Русский,"https://ru.wikipedia.org/wiki/%D0%9E%D1%81%D0%BA%D0%B0%D1%80_(%D0%BA%D0%B8%D0%BD%D0%BE%D0%BF%D1%80%D0%B5%D0%BC%D0%B8%D1%8F,_2023)"
